greek,english
αβγό,egg
αβλεψία,oversight
αγαπάω,love
αγάπη,love
άγγελος,angel
Αγγλία,England
αγγλικά,English
αγγλικό,English
άγγλος,Englishman
αγγούρι,cucumber
αγελάδα,cow
αγκάθι,Thorn
αγκίδα,splinter
αγκίστρι,fish hook
αγκωνάρι,quoin
αγνό,pure
αγορά,Buy
αγοράζω,I buy
αγόρι,boy
άγριο,wild
αγρόκτημα,farm
άγρυπνο,alert
άγχος,anxiety
αγωνίζομαι,struggle
άδειο,empty
αδελφή,sister
αδελφός,brother
αδρύ,fur
αέρας,air
αέριο,gas
αέριο,gas
αεροπλάνο,airplane
άζωτο,nitrogen
αθλητισμός,sport
αθώο,innocent
αίμα,blood
αισθάνομαι,feel
αίσθηση,sensation
αιχμηρό,sharp
αιώνας,century
άκαμπτο,rigid
ακανόνιστο,irregularity
ακολουθία,following
ακόμα,still
ακόνι,grindstone
ακουμπάω,touch
ακούω,I hear
άκρη,edge
ακρίδα,grasshopper
ακριβές,precision
ακριβό,expensive
ακρογιαλιά,beach
ακτή,coast
ακτίνα,Ray
αλάτι,salt
αλεπού,fox
αλέτρι,plow
αλεύρι,flour
αληθινό,true
αλκοόλ,alcohol
αλλά,but
αλλάζω,change
άλλο,other
αλογάκι,horses
άλογο,horse
αλυσίδα,chain
αλφάβητο,alphabet
αμάξι,cab
αμβλύ,blunt
άμεσο,direct
αμετάβλητο,unchangability
άμμος,sand
αμοιβαίο,reciprocal
αμφιβάλλω,I doubt
αμύνομαι,defend
αν,if
ανά,per
αναβάλλω,postpone
αναγνωρίζω,recognize
αναζητάω,seek
αναζωογονημένο,revitalized
ανακατεύω,mix
ανακοινώνω,announce
ανάμεσα,between
αναπηδάω,bounce
αναπνέω,breathe
ανάποδο,upside down
ανασηκώνω,pry
ανασηκώνω,pry
αναστέλλω,inhibit
ανατολή,East
ανεμιστήρας,fan
άνεμος,wind
ανεξάρτητο,independent
ανεπαρκώς,insufficiently
άνεση,comfort
ανησυχία,worry
ανθεκτικό,durable
άνθρακας,carbon
άνθρωπος,person
ανόητο,silly
άνοιγμα,opening
ανοίγω,open up
άνοιξη,spring
ανοιχτό,open
ανταγωνίζομαι,compete
ανταλλάσσω,exchange
αντί,instead
αντίγραφο,copy
αντικατάσταση,replacement
αντικαταστάτρια,replacement
αντικείμενο,object
αντιλαμβάνομαι,Realize
αντιπροσωπεύω,represent
αντίστροφο,reverse
αντίχειρας,thumb
αντλία,pump
άντρας,man
αξία,value
αξίζω,I deserve
αόριστος,vague
απαγορεύω,forbid
